下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:49:I2CW     S C0  F2 46 AC 07 7C P 
下午 2:53:49:I2CW     S C0  F2 46 B1 00 3F P 
下午 2:53:49:I2CW     S C0  F2 46 B0 0C 7E P 
下午 2:53:49:I2CW     S C0  F2 46 AF 06 81 P 
下午 2:53:49:I2CW     S C0  F2 46 B4 00 77 P 
下午 2:53:49:I2CW     S C0  F2 46 B3 0C ED P 
下午 2:53:49:I2CW     S C0  F2 46 B2 03 89 P 
下午 2:53:49:I2CW     S C0  F2 46 B7 00 DB P 
下午 2:53:49:I2CW     S C0  F2 46 B6 0D B6 P 
下午 2:53:49:I2CW     S C0  F2 46 B5 0C DB P 
下午 2:53:49:I2CW     S C0  F2 46 93 01 00 P 
下午 2:53:49:I2CW     S C0  F2 46 CA 07 27 08 3E P 
下午 2:53:49:I2CW     S C0  F2 46 CC 03 02 00 7A P 
下午 2:53:49:I2CW     S C0  F2 02 B9 00 00 50 P 
下午 2:53:49:I2CW     S C0  F2 02 B9 00 00 5E P 
下午 2:53:49:I2CW     S C0  F2 02 B9 00 00 66 P 
下午 2:53:49:I2CW     S C0  F2 02 B9 00 00 CA P 
下午 2:53:49:I2CW     S C0  F2 43 8D 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 8E 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 8F 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 90 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 91 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 88 08 00 P 
下午 2:53:49:I2CW     S C0  F2 43 89 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 8C 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 9B 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 9C 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 9D 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 9E 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A1 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A2 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 9F 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 93 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 94 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 95 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 96 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 97 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 92 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 98 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 99 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 9A 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A0 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 8A 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 8B 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 AB 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 AC 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 AD 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 AE 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A3 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A4 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A5 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 A6 0F FF P 
下午 2:53:49:I2CW     S C0  F2 43 AF 07 FA P 
下午 2:53:49:I2CW     S C0  F2 43 B0 00 06 P 
下午 2:53:49:I2CW     S C0  F2 43 24 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 25 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 26 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 27 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 28 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 29 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 2A 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 2B 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 2C 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 2D 04 00 P 
下午 2:53:49:I2CW     S C0  F2 02 89 00 00 00 P 
下午 2:53:49:I2CW     S C0  F2 42 F9 07 FF P 
下午 2:53:49:I2CW     S C0  F2 42 FA 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 F7 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 F8 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 F5 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 F6 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 83 00 00 P 
下午 2:53:50:I2CW     S C0  F2 04 E3 80 00 00 P 
下午 2:53:50:I2CW     S C0  F2 43 85 00 1A P 
下午 2:53:50:I2CW     S C0  F2 43 86 00 1A P 
下午 2:53:50:I2CW     S C0  F2 43 84 07 CC P 
下午 2:53:50:I2CW     S C0  F2 43 75 05 C8 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 73 02 38 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 B0 P 
下午 2:53:50:I2CW     S C0  F2 45 99 07 FF P 
下午 2:53:50:I2CW     S C0  F2 45 98 07 FF P 
下午 2:53:50:I2CW     S C0  F2 45 9C 04 AA 08 08 P 
下午 2:53:50:I2CW     S C0  F2 45 9E 06 9A 00 10 P 
下午 2:53:50:I2CW     S C0  F2 45 A3 04 AA 08 08 P 
下午 2:53:50:I2CW     S C0  F2 45 A5 06 9A 00 10 P 
下午 2:53:50:I2CW     S C0  F2 45 AE 04 00 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 03 EF 03 0B 00 00 00 00 00 08 02 7A 00 08 02 7A 00 00 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 05 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0B P 
下午 2:53:50:I2CW     S C0  F2 42 CE 03 EF 03 0B 00 00 00 00 00 08 02 7A 00 08 02 7A 00 00 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 22 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0B P 
下午 2:53:50:I2CW     S C0  F2 42 CE 07 8F 03 88 0C 65 07 2E 00 32 07 97 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 05 FD P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 07 8F 03 88 0C 65 07 2E 00 32 07 97 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 1A P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 F9 00 00 02 FC 0D 04 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 10 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 06 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 F9 00 00 02 FC 0D 04 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 2D P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 06 P 
下午 2:53:50:I2CW     S C0  F2 42 DA 07 F8 P 
下午 2:53:50:I2CW     S C0  F2 42 DC 08 04 P 
下午 2:53:50:I2CW     S C0  F2 42 DB 08 04 P 
下午 2:53:50:I2CW     S C0  F2 42 DD 07 F8 P 
下午 2:53:50:I2CW     S C0  F2 42 DF 08 04 P 
下午 2:53:50:I2CW     S C0  F2 42 DE 08 04 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 02 B8 00 03 05 71 0C 06 02 35 07 F9 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 05 3F P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 43 48 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 D9 00 0D 03 B2 0C 1A 06 C3 07 E4 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 05 46 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 43 48 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 CE 07 97 00 32 07 2E 0C 65 03 88 07 8F 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 05 4D P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 43 48 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 CE 00 B1 0D 63 06 0B 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 05 54 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 04 P 
下午 2:53:50:I2CW     S C0  F2 43 48 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 D3 0F A6 0F 8C 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 05 58 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 04 P 
下午 2:53:50:I2CW     S C0  F2 43 48 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 CE 00 00 04 00 01 A7 02 4F 00 00 00 00 06 58 0D B0 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 37 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 07 00 77 01 07 00 77 00 00 00 00 05 F1 03 11 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 41 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 42 CE 07 E7 00 3E 07 E7 00 3E 00 00 00 00 00 31 03 82 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 4B P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 07 00 77 01 07 00 77 00 00 00 00 05 F1 03 11 00 00 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 06 55 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 43 4D 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 4E 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 4F 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 50 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 51 07 FF P 
下午 2:53:50:I2CW     S C0  F2 43 52 07 FF P 
下午 2:53:50:I2CW     S C0  F2 42 FB 04 00 P 
下午 2:53:50:I2CW     S C0  F2 43 54 04 00 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 05 44 00 06 02 89 0C 0D 04 12 07 F2 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 03 E7 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 01 D9 00 0D 03 B2 0C 1A 06 C3 07 E4 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 03 EE P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 00 FE 00 1A 01 FD 0C 34 00 21 07 C9 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 03 F5 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 07 97 00 32 07 2E 0C 65 03 88 07 8F 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 03 FC P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:50:I2CW     S C0  F2 42 CE 00 00 04 00 05 2E 08 EA 06 E9 03 3D 02 D2 07 15 01 17 0C C2 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 04 59 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 42 CE 00 00 04 00 00 68 09 F5 02 C5 02 9D 07 97 06 0A 05 3A 0D 62 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 04 63 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 42 CE 00 00 04 00 01 74 0C 3A 03 25 01 A3 06 8C 03 C5 04 DB 0E 5C P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 04 6D P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:50:I2CW     S C0  F2 42 CE 05 44 00 06 02 89 0C 0D 04 12 07 F2 00 00 P 
下午 2:53:50:I2CW     S C0  F2 02 B8 00 04 03 P 
下午 2:53:50:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 01 D9 00 0D 03 B2 0C 1A 06 C3 07 E4 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 0A P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 FE 00 1A 01 FD 0C 34 00 21 07 C9 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 11 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 07 97 00 32 07 2E 0C 65 03 88 07 8F 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 18 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 05 2E 08 EA 06 E9 03 3D 02 D2 07 15 01 17 0C C2 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 77 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 00 68 09 F5 02 C5 02 9D 07 97 06 0A 05 3A 0D 62 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 81 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 01 74 0C 3A 03 25 01 A3 06 8C 03 C5 04 DB 0E 5C P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 8B P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 05 44 00 06 02 89 0C 0D 04 12 07 F2 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 1F P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 01 D9 00 0D 03 B2 0C 1A 06 C3 07 E4 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 26 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 FE 00 1A 01 FD 0C 34 00 21 07 C9 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 2D P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 07 97 00 32 07 2E 0C 65 03 88 07 8F 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 34 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 05 2E 08 EA 06 E9 03 3D 02 D2 07 15 01 17 0C C2 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 95 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 00 68 09 F5 02 C5 02 9D 07 97 06 0A 05 3A 0D 62 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 9F P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 01 74 0C 3A 03 25 01 A3 06 8C 03 C5 04 DB 0E 5C P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 A9 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 05 44 00 06 02 89 0C 0D 04 12 07 F2 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 3B P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 01 D9 00 0D 03 B2 0C 1A 06 C3 07 E4 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 42 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 FE 00 1A 01 FD 0C 34 00 21 07 C9 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 49 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 07 97 00 32 07 2E 0C 65 03 88 07 8F 00 00 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 50 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 05 2E 08 EA 06 E9 03 3D 02 D2 07 15 01 17 0C C2 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 B3 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 00 68 09 F5 02 C5 02 9D 07 97 06 0A 05 3A 0D 62 P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 BD P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 42 CE 00 00 04 00 01 74 0C 3A 03 25 01 A3 06 8C 03 C5 04 DB 0E 5C P 
下午 2:53:51:I2CW     S C0  F2 02 B8 00 04 C7 P 
下午 2:53:51:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:51:I2CW     S C0  F2 07 53 00 03 0E P 
下午 2:53:51:I2CW     S C0  F2 07 54 00 03 0E P 
下午 2:53:51:I2CW     S C0  F2 07 55 00 03 0E P 
下午 2:53:51:I2CW     S C0  F2 07 56 00 03 0E P 
下午 2:53:51:I2CW     S C0  F2 07 57 00 02 E0 P 
下午 2:53:51:I2CW     S C0  F2 07 58 00 02 E1 P 
下午 2:53:51:I2CW     S C0  F2 07 59 00 03 2A P 
下午 2:53:51:I2CW     S C0  F2 07 5A 00 03 2B P 
下午 2:53:51:I2CW     S C0  F2 46 EE 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F2 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 EF 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F3 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F0 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F4 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F1 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F5 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F6 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 FA 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F7 00 00 P 
